,Fast,Medium,Parabolic,Slow,Fluctuating,Erratic
2,7,8,7,10,4,16
3,22,27,48,34,14,53
4,52,64,74,80,32,123
5,100,125,90,157,65,238
6,173,216,100,270,113,407
7,275,343,111,429,179,638
8,410,512,127,640,277,943
9,584,729,153,912,394,1327
10,800,1000,194,1250,540,1800
11,1065,1331,255,1664,746,2370
12,1383,1728,340,2160,968,3042
13,1758,2197,456,2747,1231,3823
14,2196,2744,607,3430,1592,4720
15,2700,3375,798,4219,1958,5738
16,3277,4096,1034,5120,2458,6882
17,3931,4913,1320,6142,3047,8156
18,4666,5832,1660,7290,3733,9565
19,5488,6859,2061,8574,4527,11112
20,6400,8000,2527,10000,5440,12800
21,7409,9261,3063,11577,6483,14633
22,8519,10648,3674,13310,7667,16611
23,9734,12167,4365,15209,9004,18738
24,11060,13824,5140,17280,10507,21013
25,12500,15625,6006,19532,12188,23438
26,14061,17576,6967,21970,14061,26013
27,15747,19683,8028,24604,16141,28738
28,17562,21952,9194,27440,18440,31611
29,19512,24389,10470,30487,20975,34633
30,21600,27000,11860,33750,23760,37800
31,23833,29791,13371,37239,26812,41112
32,26215,32768,15007,40960,30147,44565
33,28750,35937,16773,44922,33781,48156
34,31444,39304,18674,49130,37732,51882
35,34300,42875,20715,53594,42018,55738
36,37325,46656,22900,58320,46656,59720
37,40523,50653,25236,63317,50653,63823
38,43898,54872,27727,68590,55970,68042
39,47456,59319,30378,74149,60506,72370
40,51200,64000,33194,80000,66560,76800
41,55137,68921,36180,86152,71678,81327
42,59271,74088,39340,92610,78534,85943
43,63606,79507,42681,99384,84278,90638
44,68148,85184,46207,106480,91999,95407
45,72900,91125,49923,113907,98415,100238
46,77869,97336,53834,121670,107070,105123
47,83059,103823,57945,129779,114206,110053
48,88474,110592,62260,138240,123864,115016
49,94120,117649,66786,147062,131767,120002
50,100000,125000,71527,156250,142500,125000
51,106121,132651,76488,165814,151223,131325
52,112487,140608,81674,175760,163106,137796
53,119102,148877,87090,186097,172698,144411
54,125972,157464,92740,196830,185808,151166
55,133100,166375,98631,207969,196323,158057
56,140493,175616,104767,219520,210740,165080
57,148155,185193,111153,231492,222232,172230
58,156090,195112,117794,243890,238037,179504
59,164304,205379,124695,256724,250563,186895
60,172800,216000,131860,270000,267840,194400
61,181585,226981,139296,283727,281457,202014
62,190663,238328,147007,297910,300294,209729
63,200038,250047,154998,312559,315060,217541
64,209716,262144,163274,327680,335545,225444
65,219700,274625,171840,343282,351520,233432
66,229997,287496,180700,359370,373745,241497
67,240611,300763,189861,375954,390992,249634
68,251546,314432,199327,393040,415051,257835
69,262808,328509,209103,410637,433632,267407
70,274400,343000,219194,428750,459620,276458
71,286329,357911,229605,447389,479601,286329
72,298599,373248,240340,466560,507618,296359
73,311214,389017,251406,486272,529064,305768
74,324180,405224,262807,506530,559210,316075
75,337500,421875,274548,527344,582188,326532
76,351181,438976,286634,548720,614567,336256
77,365227,456533,299070,570667,639147,346966
78,379642,474552,311860,593190,673864,357813
79,394432,493039,325011,616299,700116,367808
80,409600,512000,338527,640000,737280,378880
81,425153,531441,352413,664302,765276,390078
82,441095,551368,366674,689210,804998,400294
83,457430,571787,381315,714734,834810,411687
84,474164,592704,396340,740880,877202,423191
85,491300,614125,411756,767657,908905,433573
86,508845,636056,427567,795070,954084,445240
87,526803,658503,443778,823129,987755,457002
88,545178,681472,460394,851840,1035838,467490
89,563976,704969,477420,881212,1071553,479379
90,583200,729000,494860,911250,1122660,491346
91,602857,753571,512721,941964,1160500,501879
92,622951,778688,531007,973360,1214754,513935
93,643486,804357,549723,1005447,1254797,526050
94,664468,830584,568874,1038230,1312323,536558
95,685900,857375,588465,1071719,1354653,548720
96,707789,884736,608500,1105920,1415578,560923
97,730139,912673,628986,1140842,1460277,571334
98,752954,941192,649927,1176490,1524732,583539
99,776240,970299,671328,1212874,1571885,591882
100,800000,1000000,693194,1250000,1640000,600000
