characteristic_id,name
0,Loves to eat
1,Proud of its power
2,Sturdy body
3,Highly curious
4,Strong willed
5,Likes to run
6,Takes plenty of siestas
7,Likes to thrash about
8,Capable of taking hits
9,Mischievous
10,Somewhat vain
11,Alert to sounds
12,Nods off a lot
13,A little quick tempered
14,Highly persistent
15,Thoroughly cunning
16,Strongly defiant
17,Impetuous and silly
18,Scatters things often
19,Likes to fight
20,Good endurance
21,Often lost in thought
22,Hates to lose
23,Somewhat of a clown
24,Likes to relax
25,Quick tempered
26,Good perseverance
27,Very finicky
28,Somewhat stubborn
29,Quick to flee
